"imgPath","path","alt"
"","p01-home/btn-left-hover.png","arrow icon"
"","p01-home/btn-left.png","arrow icon"
"","p01-home/btn-right-hover.png","arrow icon"
"","p01-home/btn-right.png","arrow icon"
"","p01-home/icon.png","check icon"
"","p01-home/s01-img1.jpg","Home slider"
"","p01-home/s01-img2.jpg","Home slider"
"","p01-home/s02-1-img.jpg","solid surface basin"
"","p01-home/s03-img1.jpg","solid surface bathtub factory"
"","p01-home/s03-img2.jpg","arcylic solid surface bathtub factory"
"","p01-home/s03-img3.jpg","certifications of solid surface products"
"","p01-home/s04-img1.jpg","homepage slider"
"","p01-home/s04-img2.png","one-stop solid surface service"
"","p01-home/s04-img2（mobile）.png","one-stop solid surface production"
"","p01-home/s05-1-img.jpg","solid surface countertop and basin"
"","p01-home/s05-2-img.jpg","solid surface countertop"
"","p01-home/s05-3-img.jpg","solid surface bathtub in the washroom"
"","p01-home/s05-4-img.jpg","solid surface table "
"","p01-home/s05-5-img.jpg","solid surface office desk and chairs"
"","p01-home/s05-6-img.jpg","solid surface office desk"
"","p01-home/s05-7-img.jpg","solid surface table "
"","p01-home/s05-8-img.jpg","solid surface countertop"
"","p01-home/s07-img1.jpg","solid surface basin "
"","p01-home/s07-img2.jpg","solid surface vanitytop in orange"
"","p01-home/s07-img3.jpg","solid surface translucent sheet"
"","p01-home/s07-img4.jpg","solid surface table in texture pattern"
"","p01-home/s07-img5.jpg","solid surface bathtub"
"","p01-home/s08-img1.jpg","solid surface countertop in texture pattern"
"","p01-home/s08-img2.jpg","solid surface cabinet in translucent white"
"","p01-home/s08-img3.jpg","Custom olid surface desk"
"","p01-home/s08-img4.jpg","solid surface bathtub "
"","p01-home/s09-img1.jpg","the D LAS VEGAS Hotel logo"
"","p01-home/s09-img10.jpg","W DUBAI Al Habtoor City logo"
"","p01-home/s09-img11.jpg","Hard Rock HOTEL logo "
"","p01-home/s09-img12.jpg","Kempinski Hotels logo"
"","p01-home/s09-img13.jpg","Cretan Pearl Resort and Spa logo"
"","p01-home/s09-img14.jpg","Nujum al salam hotel logo"
"","p01-home/s09-img15.jpg","Crowne Plaza Hotels and Resorts logo"
"","p01-home/s09-img16.jpg","Grand Mercure Hotels and Resorts logo"
"","p01-home/s09-img17.jpg","ONOMO Hotel Durban logo"
"","p01-home/s09-img18.jpg","Doubletree by hilton edinburgh airport logo"
"","p01-home/s09-img2.jpg","AC hotels logo"
"","p01-home/s09-img3.jpg","Hilton HOTELS and RESORTS logo"
"","p01-home/s09-img4.jpg","Renaissance dubai downtown hotel logo"
"","p01-home/s09-img5.jpg","Intercontinental hotels and resorts"
"","p01-home/s09-img6.jpg",""
"","p01-home/s09-img7.jpg","Harbor court logo"
"","p01-home/s09-img8.jpg","Marriott logo"
"","p01-home/s09-img9.jpg","Serrano Hotel logo"
"","p02-products/s01-img.jpg","product slider"
"","p02-1-wash-basin&amp;-sink/s01-img.jpg","solid surface wash basin and sink slider"
"","p02-1-wash-basin&amp;-sink/s03-img1.jpg","technicans are mixing the color"
"","p02-1-wash-basin&amp;-sink/s03-img2.jpg","Nonporous and pure solid surface sink"
"","p02-1-wash-basin&amp;-sink/s04-1-icon.png","design icon "
"","p02-1-wash-basin&amp;-sink/s04-2-icon.png","shape icon"
"","p02-1-wash-basin&amp;-sink/s04-3-icon.png","Size icon"
"","p02-1-wash-basin&amp;-sink/s04-4-icon.png","Sink accessory options icon"
"","p02-1-wash-basin&amp;-sink/s05-1-img1.jpg","custom solid surface wash basin with countertop in the washroom"
"","p02-1-wash-basin&amp;-sink/s05-1-img2.jpg","custom olid surface wash basin with countertop in the hotel"
"","p02-1-wash-basin&amp;-sink/s05-2-img1.jpg","custom solid surface sink with countertop"
"","p02-1-wash-basin&amp;-sink/s05-2-img2.jpg","custom solid surface sink in the kitchen"
"","p02-1-wash-basin&amp;-sink/s05-3-img1.jpg","custom solid surface sink with countertop in the kitchen"
"","p02-1-wash-basin&amp;-sink/s05-3-img2.jpg","solid surface wash basin "
"","p02-1-wash-basin&amp;-sink/s06-1-icon.png","surface finish icon"
"","p02-1-wash-basin&amp;-sink/s06-2-icon.png","close precesion icon"
"","p02-1-wash-basin&amp;-sink/s06-3-icon.png","thickness icon"
"","p02-1-wash-basin&amp;-sink/s06-4-icon.png","purity icon"
"","p02-1-wash-basin&amp;-sink/s06-img1.jpg","black and white solid surface sink in the factory"
"","p02-1-wash-basin&amp;-sink/s06-img2.jpg","solid surface molds in the factory"
"","p02-1-1-product-details/img.jpg","solid surface wash basin"
"","p02-1-1-product-details/s01-img.jpg","product slider"
"","p02-2-bathtub&amp;-other-bath-accessories/s01-img.jpg","solild surface bathtub and other bath accessories slider"
"","p02-2-bathtub&amp;-other-bath-accessories/s03-img.jpg","seamless solild surface product"
"","p02-2-bathtub&amp;-other-bath-accessories/s04-1-icon.png","design icon"
"","p02-2-bathtub&amp;-other-bath-accessories/s04-2-icon.png","shape icon"
"","p02-2-bathtub&amp;-other-bath-accessories/s04-3-icon.png","solid surface accessies icon"
"","p02-2-bathtub&amp;-other-bath-accessories/s04-4-icon.png","size icon"
"","p02-2-bathtub&amp;-other-bath-accessories/s05-1-img1.jpg","solid surface bathtub in the washroom"
"","p02-2-bathtub&amp;-other-bath-accessories/s05-1-img2.jpg","oral-shaped solid surface bathtub "
"","p02-2-bathtub&amp;-other-bath-accessories/s05-2-img1.jpg","fan-shaped solid surface shower pan"
"","p02-2-bathtub&amp;-other-bath-accessories/s05-2-img2.jpg","rectangle solid surface showerpan icon"
"","p02-2-bathtub&amp;-other-bath-accessories/s05-3-img1.jpg","solid surface shower stool"
"","p02-2-bathtub&amp;-other-bath-accessories/s05-4-img1.jpg","solid surface shower pan "
"","p02-2-bathtub&amp;-other-bath-accessories/s05-4-img2.jpg","solid surface product for shower system"
"","p02-2-bathtub&amp;-other-bath-accessories/s05-5-img1.jpg","solid surface mirror"
"","p02-2-bathtub&amp;-other-bath-accessories/s05-5-img2.jpg","solid surface shelf"
"","p02-2-bathtub&amp;-other-bath-accessories/s06-1-icon.png"," Production Capacity icon"
"","p02-2-bathtub&amp;-other-bath-accessories/s06-2-icon.png","MOQ icon"
"","p02-2-bathtub&amp;-other-bath-accessories/s06-3-icon.png","Production Precesion In Length icon"
"","p02-2-bathtub&amp;-other-bath-accessories/s06-4-icon.png","Bespoke Projects icon"
"","p02-2-bathtub&amp;-other-bath-accessories/s06-img1.jpg","corian bathtub workshop"
"","p02-2-bathtub&amp;-other-bath-accessories/s06-img2.jpg","technicians are polishing the surface of solid surface products"
"","p02-3-custom-countertop-&amp;-vanity-top/s01-img.jpg","countertop slider"
"","p02-3-custom-countertop-&amp;-vanity-top/s03-img1.jpg","different ways of making solid surface countertop more durable and stable"
"","p02-3-custom-countertop-&amp;-vanity-top/s03-img2.jpg","solid surface sheet with wood"
"","p02-3-custom-countertop-&amp;-vanity-top/s04-1-icon.png","thickness icon"
"","p02-3-custom-countertop-&amp;-vanity-top/s04-2-icon.png"," Pattern and Color icon"
"","p02-3-custom-countertop-&amp;-vanity-top/s04-3-icon.png","Sink Options icon"
"","p02-3-custom-countertop-&amp;-vanity-top/s04-4-icon.png"," Faucet Hole Options icon"
"","p02-3-custom-countertop-&amp;-vanity-top/s04-5-icon.png","Edge & Backlash Options icon"
"","p02-3-custom-countertop-&amp;-vanity-top/s04-6-icon.png"," Shape & Surface Finish Options icon"
"","p02-3-custom-countertop-&amp;-vanity-top/s05-1-img1.jpg","custom corian countertop with water sink"
